순위	관광지명	광역시/도	시/군/구	도로명주소	중분류 카테고리	소분류 카테고리	검색건수
1	동대구역	대구광역시	동구	대구 동구 동대구로 550-0	기타관광	교통시설	"92,527"
2	신세계백화점대구점	대구광역시	동구	대구 동구 동부로 149-0	쇼핑	백화점	"80,459"
3	더현대대구	대구광역시	중구	대구 중구 달구벌대로 2077-0	쇼핑	백화점	"40,209"
4	대구국제공항	대구광역시	동구	대구 동구 공항로 221-0	기타관광	교통시설	"36,715"
5	서문시장	대구광역시	중구	대구 중구 큰장로26길 45-0	쇼핑	시장	"35,126"
6	코스트코홀세일대구점	대구광역시	북구	대구 북구 검단로 97-0	쇼핑	대형마트	"32,761"
7	코스트코홀세일대구혁신도시점	대구광역시	동구	대구 동구 첨단로 10-0	쇼핑	대형마트	"31,819"
8	이월드	대구광역시	달서구	대구 달서구 두류공원로 200-0	문화관광	테마공원	"24,216"
9	롯데아울렛이시아폴리스점	대구광역시	동구	대구 동구 팔공로49길 16-0	쇼핑	쇼핑몰	"23,264"
10	수성못	대구광역시	수성구	대구 수성구	자연관광	자연경관(하천/해양)	"22,425"
11	옥연지송해공원	대구광역시	달성군	대구 달성군	문화관광	도시공원	"21,861"
12	홈플러스성서점	대구광역시	달서구	대구 달서구 달구벌대로 1467-0	쇼핑	대형마트	"21,558"
13	EXCO서관	대구광역시	북구	대구 북구 엑스코로 10-0	문화관광	전시시설	"20,723"
14	대구삼성라이온즈파크	대구광역시	수성구	대구 수성구 야구전설로 1-0	문화관광	레저스포츠시설	"18,686"
15	이마트칠성점	대구광역시	북구	대구 북구 침산로 93-0	쇼핑	대형마트	"18,583"
16	이마트월배점	대구광역시	달서구	대구 달서구 진천로 92-0	쇼핑	대형마트	"18,352"
17	이마트만촌점	대구광역시	수성구	대구 수성구 동원로 136-0	쇼핑	대형마트	"16,483"
18	서대구역	대구광역시	서구	대구 서구 와룡로 527-0	기타관광	교통시설	"16,122"
19	모다아울렛대구점	대구광역시	달서구	대구 달서구 달서대로 411-0	쇼핑	쇼핑몰	"15,366"
20	롯데백화점대구점	대구광역시	북구	대구 북구 태평로 161-0	쇼핑	백화점	"14,781"
21	대구농수산물도매시장	대구광역시	북구	대구 북구 매천로18길 34-0	쇼핑	시장	"14,488"
22	트레이더스 홀세일 클럽비산점	대구광역시	서구	대구 서구 팔달로 54-0	쇼핑	대형마트	"13,549"
23	동대구터미널	대구광역시	동구	대구 동구 동부로 149-0	기타관광	교통시설	"12,958"
24	대구수목원	대구광역시	달서구	대구 달서구 화암로 342-0	자연관광	자연공원	"12,674"
25	동촌유원지	대구광역시	동구	대구 동구 효동로2길 72-0	문화관광	복합관광시설	"11,832"
26	홈플러스칠곡점	대구광역시	북구	대구 북구 동암로12길 8-0	쇼핑	대형마트	"11,391"
27	롯데백화점상인점	대구광역시	달서구	대구 달서구 월배로 232-0	쇼핑	백화점	"11,367"
28	현대시티아울렛대구점	대구광역시	동구	대구 동구 동대구로 454-0	쇼핑	쇼핑몰	"11,163"
29	대구백화점프라자점	대구광역시	중구	대구 중구 명덕로 333-0	쇼핑	백화점	"10,194"
30	이마트성서점	대구광역시	달서구	대구 달서구 이곡동로 24-0	쇼핑	대형마트	"9,970"
31	롯데아울렛대구율하점	대구광역시	동구	대구 동구 안심로 80-0	쇼핑	쇼핑몰	"9,643"
32	칠성시장	대구광역시	북구	대구 북구 칠성시장로 28-0	쇼핑	시장	"9,483"
33	동화사	대구광역시	동구	대구 동구 동화사1길 1-0	역사관광	종교성지	"9,426"
34	대구미술관	대구광역시	수성구	대구 수성구 미술관로 40-0	문화관광	전시시설	"9,323"
35	두류공원	대구광역시	달서구	대구 달서구 두류공원로 161-0	문화관광	도시공원	"9,082"
36	대구신세계백화점파미에타운	대구광역시	동구	대구 동구 효신로 88-0	쇼핑	백화점	"8,964"
37	228기념중앙공원	대구광역시	중구	대구 중구 동성로2길 80-0	문화관광	도시공원	"8,616"
38	서문시장2지구종합상가	대구광역시	중구	대구 중구 큰장로26길 25-0	쇼핑	시장	"8,427"
39	비슬산자연휴양림	대구광역시	달성군	대구 달성군 일연선사길 99-0	자연관광	자연공원	"8,299"
40	팔공산케이블카	대구광역시	동구	대구 동구 팔공산로185길 51-0	기타관광	기타관광	"7,967"
41	이마트반야월점	대구광역시	동구	대구 동구 안심로 389-2	쇼핑	대형마트	"7,899"
42	북부시외버스터미널	대구광역시	서구	대구 서구 서대구로 295-0	기타관광	교통시설	"7,695"
43	EXCO동관	대구광역시	북구	대구 북구 유통단지로 110-0	문화관광	전시시설	"7,578"
44	리조트스파밸리네이처파크	대구광역시	달성군	대구 달성군 가창로 891-0	문화관광	테마공원	"7,367"
45	월광수변공원	대구광역시	달서구	대구 달서구 월곡로 5-0	문화관광	도시공원	"7,286"
46	롯데마트대구율하점	대구광역시	동구	대구 동구 안심로 80-0	쇼핑	대형마트	"7,024"
47	국립대구과학관	대구광역시	달성군	대구 달성군 테크노대로6길 20-0	문화관광	전시시설	"6,852"
48	홈플러스대구수성점	대구광역시	수성구	대구 수성구 동대구로 95-0	쇼핑	대형마트	"6,591"
49	달성공원	대구광역시	중구	대구 중구 달성공원로 35-0	문화관광	도시공원	"6,543"
50	롯데시네마프리미엄만경	대구광역시	중구	대구 중구 국채보상로 547-0	문화관광	공연시설	"6,326"
51	동아백화점수성점	대구광역시	수성구	대구 수성구 지범로 191-0	쇼핑	백화점	"6,235"
52	국립대구박물관	대구광역시	수성구	대구 수성구 청호로 321-0	문화관광	전시시설	"5,950"
53	대구광역시수산물도매시장	대구광역시	북구	대구 북구 매천로 63-0	쇼핑	시장	"5,291"
54	홈플러스내당점	대구광역시	서구	대구 서구 달구벌대로 1821-0	쇼핑	대형마트	"5,246"
55	스파크랜드	대구광역시	중구	대구 중구 동성로6길 61-0	문화관광	테마공원	"5,193"
56	서남시장	대구광역시	달서구	대구 달서구 달구벌대로 1643-0	쇼핑	시장	"5,101"
57	NC아울렛엑스코점	대구광역시	북구	대구 북구 유통단지로14길 22-0	쇼핑	쇼핑몰	"5,064"
58	무열대체력단련장	대구광역시	수성구	대구 수성구 무열로 56-0	레저스포츠	육상레저스포츠	"5,042"
59	방촌종합시장	대구광역시	동구	대구 동구 동촌로46길 2-0	쇼핑	시장	"4,951"
60	이곡장미공원	대구광역시	달서구	대구 달서구	문화관광	도시공원	"4,821"
61	아양아트센터	대구광역시	동구	대구 동구 효동로2길 24-0	문화관광	기타문화관광지	"4,732"
62	홈플러스상인점	대구광역시	달서구	대구 달서구 월배로 183-0	쇼핑	대형마트	"4,563"
63	DGB대구은행파크	대구광역시	북구	대구 북구 고성로 191-0	문화관광	레저스포츠시설	"4,473"
64	화원유원지휴장중	대구광역시	달성군	대구 달성군 사문진로1길 40-14	문화관광	복합관광시설	"4,274"
65	홈플러스동촌점	대구광역시	동구	대구 동구 동촌로 127-0	쇼핑	대형마트	"4,180"
66	CGV연경	대구광역시	북구	대구 북구 동화천로 290-0	문화관광	공연시설	"4,030"
67	파계사	대구광역시	동구	대구 동구 파계로 741-0	역사관광	종교성지	"3,995"
68	디아크	대구광역시	달성군	대구 달성군 강정본길 57-0	문화관광	전시시설	"3,990"
69	봉무공원	대구광역시	동구	대구 동구	문화관광	도시공원	"3,975"
70	불로전통시장	대구광역시	동구	대구 동구 팔공로26길 9-1	쇼핑	시장	"3,966"
71	대구스타디움보조경기장	대구광역시	수성구	대구 수성구 유니버시아드로 180-0	문화관광	레저스포츠시설	"3,906"
72	동아백화점쇼핑점	대구광역시	중구	대구 중구 달구벌대로 2085-0	쇼핑	백화점	"3,898"
73	CGV대구스타디움	대구광역시	수성구	대구 수성구 유니버시아드로 140-0	문화관광	공연시설	"3,847"
74	관문시장	대구광역시	남구	대구 남구 관문시장2길 43-0	쇼핑	시장	"3,836"
